--  Sample employee database ,,,,,,,,
--  See changelog table for details,,,,,,,,
"--  Copyright (C) 2007,2008, MySQL AB",,,,,,,,
--  ,,,,,,,,
--  Original data created by Fusheng Wang and Carlo Zaniolo,,,,,,,,
--  http://www.cs.aau.dk/TimeCenter/software.htm,,,,,,,,
--  http://www.cs.aau.dk/TimeCenter/Data/employeeTemporalDataSet.zip,,,,,,,,
-- ,,,,,,,,
--  Current schema by Giuseppe Maxia ,,,,,,,,
--  Data conversion from XML to relational by Patrick Crews,,,,,,,,
-- ,,,,,,,,
-- This work is licensed under the ,,,,,,,,
-- Creative Commons Attribution-Share Alike 3.0 Unported License. ,,,,,,,,
"-- To view a copy of this license, visit ",,,,,,,,
-- http://creativecommons.org/licenses/by-sa/3.0/ or send a letter to ,,,,,,,,
"-- Creative Commons, 171 Second Street, Suite 300, San Francisco, ",,,,,,,,
"-- California, 94105, USA.",,,,,,,,
-- ,,,,,,,,
--  DISCLAIMER,,,,,,,,
"--  To the best of our knowledge, this data is fabricated, and",,,,,,,,
--  it does not correspond to real people. ,,,,,,,,
--  Any similarity to existing people is purely coincidental.,,,,,,,,
--,,,,,,,,
emp_no,first_name,last_name,birth_date,gender,title,salary,latest_start_date,end_of_contract_date
10278,Lubomir,Nitsch,09/03/1955,M,Engineer,51703,01/07/1996,14/02/1997
10279,Barton,Jumpertz,20/08/1964,F,Engineer,40000,24/04/2002,01/01/9999
10280,Stabislas,Delgrange,29/10/1964,M,Staff,66695,25/01/2002,01/01/9999
10281,Moty,Kusakari,13/05/1953,M,Engineer,46123,01/12/2001,01/01/9999
10282,Hercules,Benzmuller,27/11/1953,M,Assistant Engineer,40000,01/05/2002,01/01/9999
10283,Kauko,Birjandi,08/07/1953,M,Engineer,40000,22/05/2002,01/01/9999
10284,Masali,Murrill,08/04/1954,F,Engineer,40000,05/07/2002,01/01/9999
10285,Zhonghui,Preusig,21/09/1956,F,Staff,62075,23/05/2002,01/01/9999
10286,Saddek,Gopalakrishnan,14/05/1952,F,Staff,40000,23/12/1998,24/01/1999
10287,Marie,Pietracaprina,28/11/1963,M,Senior Staff,55732,26/12/2001,01/01/9999
10288,Selwyn,Perri,02/06/1959,M,Technique Leader,80474,27/08/2001,01/01/9999
10289,Shay,Poulakidas,30/11/1956,M,Technique Leader,40000,10/03/2001,31/01/2002
10290,Yongmao,Pleszkun,29/05/1957,M,Engineer,44274,15/09/2001,01/01/9999
10291,Dipayan,Seghrouchni,23/01/1965,M,Senior Staff,57430,26/03/2002,01/01/9999
10292,Yucel,Ghelli,27/01/1963,F,Senior Staff,78370,02/06/2002,01/01/9999
10293,Mihalis,Avouris,24/11/1956,F,Engineer,44200,10/12/2001,01/01/9999
10294,Rutger,Miara,05/01/1955,M,Senior Engineer,66448,30/01/1999,04/05/1999
10295,Kristine,Velardi,13/01/1953,M,Senior Staff,46398,17/06/2002,01/01/9999
10296,Petter,Lorho,13/05/1964,M,Senior Staff,77788,13/09/2001,01/01/9999
10297,Narain,Oaver,17/06/1956,F,Engineer,63061,24/05/2002,01/01/9999
10298,Dietrich,DuCasse,06/07/1954,F,Staff,40000,26/04/2002,01/01/9999
10299,Ipke,Stentiford,21/06/1960,F,Senior Staff,76484,07/01/2002,01/01/9999
10300,Tadahiko,Ulupinar,12/07/1960,F,Engineer,72504,14/05/2002,01/01/9999
10301,Lucien,Staudhammer,26/08/1962,M,Senior Staff,40000,20/05/2002,01/01/9999
10302,Faiza,Baer,11/10/1954,F,Senior Staff,58239,19/07/1999,09/11/1999
10303,Marlo,Zschoche,11/09/1961,M,Senior Engineer,40000,03/02/2000,15/11/2000
10304,Bernt,Erie,07/03/1956,M,Senior Staff,106905,14/11/2001,08/05/2002
10305,Hirochika,Piancastelli,30/06/1952,M,Engineer,52550,31/10/1991,02/06/1992
10306,Heng,Kilgour,02/06/1953,M,Staff,44229,04/09/2001,01/01/9999
10307,Nikolaos,Leaver,20/07/1955,M,Engineer,40000,15/10/2001,01/01/9999
10308,Dzung,Holburn,14/03/1961,F,Senior Staff,59715,27/12/2001,01/01/9999
10309,Prodip,Schusler,06/11/1964,F,Assistant Engineer,53031,01/05/2002,01/01/9999
10310,Aksel,Alencar,29/08/1964,M,Senior Engineer,42894,21/10/2000,26/07/2001
10311,Hsiangchu,Molenkamp,24/11/1958,F,Engineer,40000,03/11/2001,01/01/9999
10312,Rasiah,Deyuan,18/06/1957,F,Senior Engineer,56705,24/08/2001,01/01/9999
10313,Subbu,Riexinger,30/05/1962,M,Staff,60589,08/10/2001,01/01/9999
10314,Christfried,Apsitis,04/05/1961,M,Senior Staff,51939,12/01/2002,01/01/9999
10315,Maris,Angelopoulos,03/08/1956,M,Engineer,60494,24/08/2001,01/01/9999
10316,Christoper,Schwaller,20/06/1958,M,Engineer,40000,18/12/1990,02/01/1991
10317,Arie,Birge,25/12/1957,M,Staff,51129,23/01/2002,01/01/9999
10318,Mototsugu,Beilner,27/08/1958,F,Engineer,73259,19/03/2002,01/01/9999
10319,Mechthild,Miyakawa,09/03/1963,M,Senior Staff,84162,16/06/2002,01/01/9999
10320,Uinam,Stasinski,22/06/1956,F,Senior Staff,58483,31/10/2001,23/12/2001
10321,Guenter,Ravishankar,12/12/1955,M,Staff,86819,23/07/1999,14/08/1999
10322,Isamu,Dahlbom,28/05/1954,F,Engineer,41968,26/01/2002,01/01/9999
10323,Kankanahalli,Hinsberger,20/06/1958,M,Engineer,40000,03/06/2002,01/01/9999
10324,Bernardo,Rouquie,29/12/1957,F,Engineer,67499,18/07/2002,01/01/9999
10325,Arunachalam,Badr,12/01/1953,M,Senior Staff,44325,17/09/2001,01/01/9999
10326,Masali,Czap,13/02/1953,F,Staff,40000,01/09/2001,01/01/9999
10327,Roded,Facello,01/04/1954,M,Engineer,54734,16/09/1992,22/05/1993
10328,Serenella,Kawashima,28/06/1955,M,Engineer,46286,16/07/2002,01/01/9999
10329,Remko,Shigei,28/04/1958,F,Technique Leader,51664,16/01/2002,01/01/9999
10330,Kasturi,Bellmore,02/02/1957,M,Staff,86545,06/10/2001,01/01/9999
10331,Arto,Binkley,12/08/1961,M,Senior Staff,55800,25/10/2001,01/01/9999
10332,Masanao,Bain,05/11/1961,F,Engineer,52133,18/10/1996,07/03/1997
10333,Snehasis,Dymetman,27/04/1953,M,Engineer,45141,14/01/2002,01/01/9999
10334,Falguni,Erie,02/04/1958,M,Staff,40000,14/02/2002,01/01/9999
10335,Toshimori,Bahi,13/03/1963,F,Senior Staff,52633,03/04/2002,01/01/9999
10336,Goa,Rothe,16/07/1961,F,Staff,63248,26/09/2001,01/01/9999
10337,Jeong,Sadowsky,10/12/1957,M,Assistant Engineer,56061,24/04/2002,01/01/9999
10338,Heon,Ranai,12/02/1961,M,Staff,40000,28/12/2001,01/01/9999
10339,Teunis,Liedekerke,27/08/1957,M,Engineer,40000,27/11/2001,01/01/9999
10340,Djelloul,Laventhal,20/08/1952,M,Senior Staff,68132,27/03/2002,01/01/9999
10341,Wilmer,Greenaway,22/11/1960,F,Technique Leader,40000,26/04/1998,11/11/1998
10342,Stella,Hiroyama,17/03/1960,F,Engineer,40000,21/07/2002,01/01/9999
10343,Dinah,Syrzycki,01/11/1954,M,Senior Engineer,40000,02/10/2001,01/01/9999
10344,Uwe,Garnier,24/07/1957,F,Assistant Engineer,53087,18/04/2002,01/01/9999
10345,Arra,Ratnakar,13/12/1960,M,Engineer,66930,06/11/2001,01/01/9999
10346,Aamod,Radwan,29/01/1963,M,Staff,78088,16/01/1996,20/04/1996
10347,Pradeep,Kaminger,03/10/1953,M,Staff,42199,19/02/2002,01/01/9999
10348,Mahendra,Picco,11/03/1956,F,Technique Leader,40000,20/10/2001,01/01/9999
10349,Oksana,Brodie,29/04/1954,F,Senior Staff,47518,25/09/2001,01/01/9999
10350,Kristen,Kavvadias,14/11/1954,F,Assistant Engineer,41213,09/05/1997,16/01/1998
10351,Tadahiko,Strehl,23/08/1963,F,Staff,40000,29/04/2002,01/01/9999
10352,Erzsebet,Ohori,28/01/1960,M,Engineer,40000,15/12/2001,01/01/9999
10353,Phule,Hammerschmidt,15/01/1953,M,Senior Staff,62656,21/08/2001,01/01/9999
10354,Moto,Kusakari,21/04/1961,M,Senior Staff,60762,02/03/2001,01/01/2002
10355,Satyanarayana,Cochrane,10/12/1952,M,Staff,70434,24/01/2002,01/01/9999
10356,Vasilis,Standera,12/08/1952,M,Senior Staff,45376,24/06/2002,01/01/9999
10357,Hausi,Sidhu,10/01/1964,M,Engineer,40000,01/04/2002,01/01/9999
10358,Qunsheng,Tagansky,08/04/1953,M,Technique Leader,63243,16/02/2002,01/01/9999
10359,Heekeun,Sambasivam,18/04/1960,F,Engineer,40000,19/07/2002,01/01/9999
10360,Irene,Munck,04/11/1960,M,Staff,40000,03/09/2001,01/01/9999
10361,Seshu,Sidou,22/04/1961,F,Senior Staff,64213,19/10/2001,01/01/9999
10362,Shalesh,dAstous,16/09/1963,M,Senior Staff,40000,31/10/1996,16/07/1997
10363,Toshiki,Muniz,28/11/1953,F,Assistant Engineer,40401,09/09/1992,12/02/1993
10364,Nakhoon,Dengi,21/09/1954,M,Senior Engineer,51401,10/11/2001,01/01/9999
10365,Rosine,Granlund,28/04/1958,F,Staff,45523,21/10/1991,04/04/1992
10366,Morrie,Piazza,25/01/1960,M,Engineer,47229,14/08/2001,01/01/9999
10367,Hyuckchul,Gini,24/12/1955,M,Senior Staff,63565,21/06/2002,01/01/9999
10368,Hatim,Koshiba,25/03/1956,M,Assistant Engineer,42463,15/05/2002,01/01/9999
10369,Qunsheng,Toyoshima,08/01/1957,M,Staff,47236,03/09/2001,01/01/9999
10370,Clyde,Fandrianto,03/08/1957,M,Senior Staff,40010,16/04/2002,01/01/9999
10371,Ioana,Kirkerud,10/02/1959,M,Assistant Engineer,61475,25/11/2001,01/01/9999
10372,Anneli,Frijda,08/04/1952,F,Technique Leader,54505,26/07/2002,01/01/9999
10373,Hongzue,Heijenga,08/01/1959,M,Engineer,53305,25/04/2002,01/01/9999
10374,Willard,Rosin,08/10/1955,F,Staff,69568,08/12/1995,29/03/1996
10375,Dante,Kalafatis,09/10/1957,F,Senior Staff,93329,27/05/2002,01/01/9999
10376,Fai,Bale,12/02/1959,M,Technique Leader,42634,05/12/2001,01/01/9999
10377,Marl,Grospietsch,19/08/1954,M,Senior Engineer,40000,23/08/2001,01/01/9999
10378,Takahira,Lichtner,05/09/1964,M,Senior Staff,75311,29/08/2001,01/01/9999
10379,Mikhail,Rosis,02/03/1957,M,Engineer,40000,14/07/2002,01/01/9999
10380,Alejandro,Kamble,25/05/1956,F,Senior Staff,76387,15/03/2002,01/01/9999
10381,Jiong,Parfitt,04/03/1963,M,Assistant Engineer,78510,01/12/2001,01/01/9999
10382,Shirish,Dredge,12/06/1955,M,Engineer,45785,30/06/2000,27/10/2000
10383,Leucio,Aumann,13/11/1963,M,Engineer,47452,16/06/2002,01/01/9999
10384,Feiyu,Luft,22/08/1956,M,Senior Staff,43270,12/01/2002,01/01/9999
10385,Khatoun,Imataki,14/05/1963,M,Engineer,40000,19/12/1997,23/01/1998
10386,Eishiro,Miyakawa,09/11/1956,F,Engineer,53367,29/07/2002,01/01/9999
10387,Parto,Wrigley,03/11/1952,F,Senior Staff,61374,05/01/2002,01/01/9999
10388,Hironoby,Kaiser,29/03/1953,M,Staff,62545,27/05/2002,01/01/9999
10389,Make,Peir,24/03/1953,M,Technique Leader,55548,12/05/2002,01/01/9999
10390,Wanqing,Bratten,07/03/1960,M,Technique Leader,40000,14/05/2002,01/01/9999
10391,Hongzue,Akaboshi,13/06/1956,M,Assistant Engineer,56655,26/01/2002,01/01/9999
10392,Jiann,Hainaut,17/02/1962,M,Engineer,50962,27/02/2002,01/01/9999
10393,Yagil,DasSarma,24/03/1958,M,Engineer,40000,20/06/2002,01/01/9999
10394,Shawna,Meriste,22/05/1957,M,Engineer,40000,14/03/1991,25/08/1991
10395,Takahiro,Deverell,17/02/1952,M,Engineer,42774,09/08/2001,13/08/2001
10396,Sibyl,Rahier,21/08/1955,M,Senior Engineer,40393,07/01/2002,01/01/9999
10397,Irena,Reutenauer,11/11/1955,M,Technique Leader,40529,19/05/2002,01/01/9999
10398,Shooichi,Escriba,16/07/1958,F,Senior Staff,54156,09/10/2001,01/01/9999
10399,Guenter,Marchegay,13/06/1957,F,Staff,97010,25/01/2002,01/01/9999
10400,Ortrud,Nitto,16/12/1961,M,Senior Staff,63746,15/10/2001,01/01/9999
10401,Eckart,Barriga,25/04/1962,M,Engineer,40000,24/10/2000,25/04/2001
10402,Volkmar,Ebeling,23/07/1953,M,Technique Leader,40000,29/12/2001,01/01/9999
10403,Atreyi,Mungall,01/04/1956,F,Senior Staff,83609,10/09/2000,15/06/2001
10404,Prodip,Rosti,27/04/1955,F,Engineer,51647,25/08/2001,01/01/9999
10405,Hilary,Budinsky,20/01/1957,F,Assistant Engineer,40000,25/09/2000,05/12/2000
10406,Sigeru,Wynblatt,21/09/1956,F,Engineer,40000,24/01/2002,01/01/9999
10407,Ulf,Siepmann,05/07/1955,M,Senior Staff,62565,28/10/2001,01/01/9999
10408,Martijn,Kaiser,17/03/1964,M,Staff,76369,06/10/2001,01/01/9999
10409,Mario,Straney,28/08/1958,M,Engineer,64363,25/09/2001,01/01/9999
10410,Takahito,Gecsei,19/01/1965,F,Staff,46546,16/10/1995,21/07/1996
10411,Lidong,Klerer,10/07/1956,F,Senior Staff,66415,30/08/2001,01/01/9999
10412,Masoud,Fabrizio,26/02/1958,F,Engineer,65405,18/11/2001,01/01/9999
10413,Danel,Impagliazzo,05/05/1952,F,Senior Staff,45416,24/12/2001,01/01/9999
10414,Yinlin,Alpin,09/04/1954,M,Senior Engineer,43255,29/05/1994,02/12/1994
10415,Mark,Coorg,12/11/1957,M,Senior Engineer,50219,23/10/2001,01/01/9999
10416,Uli,Keustermans,26/05/1956,M,Senior Staff,68993,21/03/2002,01/01/9999
10417,Bingning,Bakhtari,02/02/1964,M,Staff,78571,26/06/2002,01/01/9999
10418,Candida,Porotnikoff,29/06/1952,F,Staff,52224,03/10/2001,01/01/9999
10419,Maria,Bauknecht,22/06/1964,F,Senior Staff,40569,23/04/2002,06/07/2002
10420,Kaijung,Riesenhuber,03/03/1963,M,Senior Staff,69604,14/01/2000,09/07/2000
10421,Divine,Marzano,22/03/1959,M,Senior Staff,40000,03/04/2002,01/01/9999
10422,Greger,Rubsam,02/06/1954,F,Engineer,45725,01/01/2002,01/01/9999
10423,Dante,Cronin,10/01/1956,F,Staff,51183,26/05/2002,01/01/9999
10424,Babette,Straney,17/08/1959,M,Senior Engineer,50054,04/08/2001,01/01/9999
10425,Sashi,Osgood,24/10/1963,M,Engineer,40000,05/05/2002,06/05/2002
10426,Arunas,Luce,28/12/1955,F,Technique Leader,65757,02/07/2002,01/01/9999
10427,Khosrow,Sudbeck,13/08/1958,F,Senior Staff,79320,01/10/2001,01/01/9999
10428,Cathie,Brlek,25/06/1957,M,Senior Staff,40000,02/06/2002,01/01/9999
10429,Martien,Improta,13/02/1952,F,Senior Engineer,40000,20/09/2001,01/01/9999
10430,Ferdinand,Chenney,30/06/1958,M,Senior Engineer,40000,04/07/2002,01/01/9999
10431,Patricio,Bugrara,25/05/1961,M,Senior Staff,67068,04/10/2001,01/01/9999
10432,Hisao,Tiemann,06/11/1953,F,Senior Staff,40000,10/08/2001,01/01/9999
10433,Reuven,Dengi,02/09/1954,M,Assistant Engineer,40000,24/11/2001,01/01/9999
10434,Dzung,Peltason,17/07/1959,F,Engineer,40000,25/06/2001,22/06/2002
10435,Marsha,Tagansky,12/10/1957,M,Engineer,45352,07/06/2002,01/01/9999
10436,Yahiko,Lammel,17/06/1963,M,Senior Staff,40000,26/01/2002,01/01/9999
10437,Narain,Reeker,07/07/1956,F,Engineer,59749,11/04/2002,01/01/9999
10438,Evgueni,Srimani,25/12/1961,F,Assistant Engineer,40000,16/01/2002,01/01/9999
10439,Jolita,Jarecki,09/04/1958,M,Engineer,62401,29/04/2002,01/01/9999
10440,Akeel,Narahara,10/04/1959,F,Technique Leader,54615,03/04/2002,01/01/9999
10441,Adel,Perfilyeva,27/04/1958,M,Engineer,40000,09/07/2002,01/01/9999
10442,Volkmar,Unno,09/09/1955,M,Senior Staff,46005,09/02/2001,13/03/2001
10443,Shichao,Litvinov,03/12/1952,F,Senior Engineer,55299,29/07/2001,06/07/2002
10444,Kazuhira,Rosis,29/07/1956,M,Staff,86407,21/10/2001,01/01/9999
10445,Junichi,Kavanagh,10/01/1957,F,Engineer,59438,31/10/2001,01/01/9999
10446,Ebru,Chepyzhov,08/02/1960,F,Engineer,48170,24/12/2001,01/01/9999
10447,Ronghao,Yavatkar,24/10/1962,F,Assistant Engineer,40000,27/12/1999,15/11/2000
10448,Phule,Oxenboll,10/12/1963,F,Senior Staff,48558,10/03/2002,01/01/9999
10449,Aleksandar,Sudkamp,28/09/1959,M,Senior Staff,55316,24/03/2002,01/01/9999
10450,Khun,Harbusch,05/11/1959,M,Engineer,40000,23/08/2001,01/01/9999
10451,Bodh,Ranta,06/10/1952,F,Assistant Engineer,46275,09/03/2002,01/01/9999
10452,Werner,Hasham,24/11/1956,M,Engineer,40000,10/11/2000,11/10/2001
10453,Tsvetan,Matzel,19/07/1953,F,Senior Staff,40000,29/03/2002,01/01/9999
10454,Wonhee,Badr,22/01/1961,M,Senior Staff,84280,13/04/2002,01/01/9999
10455,Sverrir,Streng,17/12/1963,F,Senior Staff,98251,17/02/2002,01/01/9999
10456,Stepehn,Hardjono,24/01/1963,F,Staff,57599,05/01/2002,01/01/9999
10457,Oddvar,Schlenzig,10/11/1963,M,Senior Engineer,60672,22/10/2001,01/01/9999
10458,Gina,Engelmann,06/01/1961,F,Senior Staff,76973,03/07/2002,01/01/9999
10459,Ennio,Trogemann,30/09/1959,M,Staff,40000,27/06/2002,01/01/9999
10460,Shushma,VanScheik,19/02/1963,M,Engineer,40000,29/06/2000,15/04/2001
10461,Gal,Karcich,26/10/1956,M,Senior Staff,82217,30/07/2002,01/01/9999
10462,Sumali,Schlenzig,08/04/1956,M,Senior Engineer,40000,24/03/2002,01/01/9999
10463,Ung,Zaiane,20/05/1954,M,Staff,66480,15/02/2002,01/01/9999
10464,Mang,Maginnis,04/09/1962,F,Senior Staff,40000,18/05/2002,01/01/9999
10465,Claudi,Shackel,13/03/1963,M,Senior Staff,59124,09/12/2001,01/01/9999
10466,Jiakeng,Himler,25/12/1954,M,Staff,55318,22/08/1999,15/08/2000
10467,Dipayan,Suomi,30/01/1956,F,Staff,79905,21/05/1999,01/11/1999
10468,Yoshimitsu,Shobatake,28/08/1960,M,Senior Staff,40000,25/05/2002,01/01/9999
10469,Munehiko,Ananiadou,22/12/1964,M,Senior Engineer,42697,01/06/2002,01/01/9999
10470,Peternela,Iwayama,12/04/1956,M,Engineer,49593,16/09/2001,01/01/9999
10471,Jouko,Yamaashi,30/11/1963,M,Senior Engineer,58951,15/11/2001,01/01/9999
10472,Salvador,Lodder,20/08/1959,M,Staff,48561,30/11/2001,02/01/2002
10473,Przemyslawa,Oskamp,13/10/1963,M,Engineer,41613,22/09/2001,01/01/9999
10474,Kenton,Garnham,24/02/1962,F,Engineer,43948,17/02/2002,01/01/9999
10475,Mario,Rodite,19/12/1956,M,Engineer,51203,13/05/1994,30/12/1994
10476,Kokou,Iisaka,01/01/1965,M,Senior Staff,58221,16/09/2001,01/01/9999
10477,Guoxiang,Trogemann,07/12/1952,F,Engineer,55138,25/05/2002,01/01/9999
10478,Maik,Ushiama,08/03/1957,M,Senior Staff,40000,07/06/2002,01/01/9999
10479,Duro,Coney,27/01/1959,F,Senior Engineer,40000,22/07/2002,01/01/9999
10480,Make,Baba,25/01/1965,F,Staff,55669,18/05/1989,03/06/1989
10481,Yongmao,Pintelas,18/10/1959,F,Engineer,40000,30/09/2001,01/01/9999
10482,Goa,Pleszkun,17/07/1961,F,Engineer,79330,24/02/2002,01/01/9999
10483,Zhiwei,Anick,13/03/1957,M,Assistant Engineer,47423,08/11/2001,01/01/9999
10484,Nirmal,Varley,30/08/1961,F,Senior Staff,40000,19/12/2001,01/01/9999
10485,Teruyuki,Sundgren,20/09/1961,M,Engineer,47265,19/01/2002,01/01/9999
10486,Amstein,Kossowski,24/08/1952,F,Engineer,71692,04/10/2001,01/01/9999
10487,Perla,Middleton,23/08/1956,F,Engineer,45083,12/08/2001,01/01/9999
10488,Mihalis,Heering,17/10/1959,M,Engineer,40000,07/07/2002,01/01/9999
10489,Elvia,Homond,24/08/1958,M,Engineer,56739,10/09/1989,06/10/1989
10490,Huiqun,Vuskovic,28/09/1961,F,Senior Staff,62973,20/11/2001,01/01/9999
10491,Garnik,Narahari,09/09/1964,M,Senior Staff,66740,14/01/2002,01/01/9999
10492,Lobel,Kumaresan,03/04/1957,M,Engineer,60838,26/04/2002,01/01/9999
10493,Maris,Haraldson,12/01/1962,M,Senior Staff,43998,28/10/2001,01/01/9999
10494,Yakkov,Servieres,21/12/1953,F,Engineer,50094,15/12/2001,01/01/9999
10495,Anyuan,Zhiwei,24/05/1961,F,Technique Leader,75661,21/09/2001,01/01/9999
10496,Gretta,Baig,18/04/1959,M,Staff,41835,28/08/1998,26/01/1999
10497,Pramod,Rabehasaina,09/06/1953,M,Engineer,63707,19/01/2002,01/01/9999
10498,Valter,Cappelletti,15/09/1964,F,Engineer,40000,07/03/2002,01/01/9999
10499,Maik,Luft,04/10/1953,F,Senior Staff,40000,30/07/2002,01/01/9999
10500,Vojin,Narwekar,29/04/1957,M,Engineer,42688,15/12/2001,01/01/9999
10501,Susuma,Larfeldt,09/09/1962,M,Engineer,53922,05/09/2001,01/01/9999
10502,Yonghoan,Marshall,07/10/1957,M,Technique Leader,40000,02/03/2002,01/01/9999
10503,Dannz,Pell,17/05/1952,M,Engineer,40000,12/03/2002,01/01/9999
10504,Xiong,Varker,07/04/1953,M,Staff,43931,18/10/2001,01/01/9999
10505,Isamu,Auria,04/02/1964,M,Senior Staff,63696,20/07/1997,26/03/1998
10506,Kazuhisa,Kroll,06/10/1958,F,Senior Engineer,40000,30/11/2001,01/01/9999
10507,Kasidit,Belinskaya,18/02/1964,M,Senior Staff,40000,27/09/2001,01/01/9999
10508,Kotesh,Liedekerke,02/06/1962,M,Engineer,46204,28/04/2002,01/01/9999
10509,Abdelwaheb,Riesenhuber,03/10/1953,F,Senior Staff,49292,04/10/2001,01/01/9999
10510,Keung,Slobodova,13/02/1960,F,Senior Staff,69341,17/04/2002,01/01/9999
10511,Khoa,Marrevee,18/06/1963,M,Assistant Engineer,40000,24/01/2002,01/01/9999
10512,Udi,Gihr,16/11/1955,M,Senior Staff,40000,25/11/2001,01/01/9999
10513,Yuichiro,Schicker,07/07/1959,F,Senior Staff,86392,30/03/2002,01/01/9999
10514,Tomofumi,McClure,03/04/1963,M,Staff,48428,29/04/1994,02/04/1995
10515,Raimond,Kirkerud,15/12/1963,M,Senior Staff,91484,04/01/1998,21/07/1998
10516,Xiadong,Luga,20/02/1960,M,Engineer,74920,15/10/2001,01/01/9999
10517,Tiina,Speek,18/06/1953,M,Senior Staff,65330,22/12/2001,01/01/9999
10518,Marin,Lanphier,23/05/1963,M,Technique Leader,51168,01/09/2001,01/01/9999
10519,Yonghoan,Alencar,28/12/1955,F,Senior Staff,40000,03/12/2000,13/10/2001
10520,Jenwei,Ecklund,06/03/1964,M,Senior Engineer,40000,04/09/2001,01/01/9999
10521,Kwangsub,Setia,31/07/1957,M,Senior Staff,91262,08/05/2002,01/01/9999
10522,Marke,Cesareni,24/07/1955,F,Senior Staff,40000,08/12/2001,01/01/9999
10523,Malu,Skafidas,16/05/1956,M,Engineer,40000,20/12/2001,01/01/9999
10524,Shigehiro,Cincotta,02/05/1959,F,Engineer,49950,05/10/2001,01/01/9999
10525,Yuchang,Lunt,29/03/1963,M,Senior Staff,87439,07/07/1995,20/12/1995
10526,Kwangho,Theuretzbacher,31/12/1963,F,Engineer,40000,23/02/2002,01/01/9999
10527,Tetsushi,Barvinok,15/09/1964,F,Technique Leader,43405,23/01/2002,01/01/9999
10528,Koichi,Lakshmanan,16/05/1963,F,Senior Engineer,63813,26/10/2001,01/01/9999
10529,Ymte,Yetto,21/11/1952,M,Assistant Engineer,47840,03/07/2002,01/01/9999
10530,Boriana,Coors,19/07/1956,F,Engineer,68487,19/09/2001,01/01/9999
10531,Oguz,Gimbel,11/06/1954,F,Staff,49168,14/03/2002,01/01/9999
10532,Mary,Wossner,31/08/1959,F,Senior Staff,87468,14/05/2002,01/01/9999
10533,Mohamadou,Smailagic,25/06/1963,F,Senior Staff,57135,14/08/2001,01/01/9999
10534,Dinah,Bahl,23/10/1964,M,Staff,40000,25/01/2001,03/03/2001
10535,Shalesh,Stroustrup,19/05/1961,F,Senior Staff,47272,19/08/2001,01/01/9999
10536,Yechiam,Sambasivam,29/10/1964,F,Senior Staff,57487,04/10/2001,01/01/9999
10537,Stella,Benzmuller,29/06/1962,M,Senior Staff,75976,24/09/2001,01/01/9999
10538,Przemyslawa,Falby,18/08/1955,M,Senior Engineer,72002,20/07/1998,13/12/1998
10539,Yucel,Reinhard,13/05/1959,M,Senior Staff,102092,02/06/2002,01/01/9999
10540,Martins,Barriga,24/02/1961,M,Engineer,66067,01/05/2002,01/01/9999
10541,Godehard,Eiter,05/11/1955,M,Staff,50741,28/02/1986,01/10/1986
10542,Yannis,Couchot,05/01/1955,F,Senior Engineer,40000,04/02/2002,01/01/9999
10543,Lein,Lichtman,06/10/1962,M,Staff,86526,23/11/2001,01/01/9999
10544,Ishfaq,Krzyzanowski,01/02/1962,F,Senior Staff,45092,27/04/2002,01/01/9999
10545,Hauke,dAstous,12/01/1963,M,Engineer,57752,27/06/2002,01/01/9999
10546,Nechama,Schapiro,20/12/1957,M,Senior Staff,46871,11/04/2002,01/01/9999
10547,Snehasis,Brobst,12/05/1963,M,Technique Leader,40000,13/02/1989,19/06/1989
10548,Ramalingam,Gunderson,12/06/1952,M,Senior Staff,90631,30/06/2002,01/01/9999
10549,Beshir,Kisuki,20/03/1957,M,Engineer,63795,10/10/2001,01/01/9999
10550,Manton,Leuchs,03/08/1959,M,Engineer,40000,30/01/2002,01/01/9999
10551,Jeong,Rijsenbrij,07/10/1963,M,Engineer,53473,03/08/2001,01/01/9999
10552,Kazuhito,Shiratori,25/03/1953,M,Senior Engineer,80483,30/08/2001,01/01/9999
10553,Rajmohan,Wallrath,08/02/1964,F,Engineer,73618,19/07/2002,01/01/9999
10554,Dines,Gerlach,01/08/1958,M,Engineer,54763,25/11/2001,01/01/9999
10555,Vitaly,Picci,25/09/1962,M,Staff,73486,22/05/1992,19/01/1993
10556,JoAnna,Taubman,31/12/1962,F,Senior Staff,68797,13/04/2002,01/01/9999
10557,Sashi,Karlin,23/08/1957,M,Engineer,43289,16/09/2001,01/01/9999
10558,Hisao,Famili,08/10/1964,M,Senior Engineer,70012,20/04/2002,01/01/9999
10559,Arumugam,Comellas,18/01/1956,F,Staff,90120,03/04/2002,01/01/9999
10560,Yinlin,Esteva,01/05/1960,F,Engineer,40000,02/09/2001,01/01/9999
10561,Serge,Joslin,07/09/1958,F,Senior Staff,57319,29/06/2002,01/01/9999
10562,Shuky,Pearson,17/04/1963,M,Engineer,59596,23/07/2002,01/01/9999
10563,Mohit,Spelt,27/10/1956,M,Engineer,41280,27/09/2001,01/01/2002
10564,Jianhao,Thisen,14/04/1955,M,Engineer,46660,21/11/2001,01/01/9999
10565,Yishay,Harnett,05/11/1961,M,Senior Engineer,40000,04/08/2001,01/01/9999
10566,Jianhui,Zuberek,30/01/1958,F,Engineer,40000,21/08/1997,26/10/1997
10567,Dietrich,Journel,21/05/1957,M,Senior Staff,43717,16/10/2001,01/01/9999
